TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
25.5196,-12868.26,-10845.04,1946.54,11290.03,-12556.22,-5462.27,-23500.3,-31730.23
25.5596,-12868.98,-10842.66,1954.03,11273.05,-12611.34,-5469.8,-23503.4,-31730.61
25.5996,-12903.93,-10855.06,1956.42,11308.0,-12627.6,-5460.26,-23504.31,-31726.79
25.6396,-12914.23,-10862.3,1948.17,11338.09,-12633.13,-5434.08,-23505.07,-31720.36
25.6796,-12850.81,-10842.71,1962.9,11280.35,-12601.19,-5411.15,-23503.02,-31724.79
25.7196,-12852.0,-10847.52,1957.42,11263.8,-12629.89,-5421.45,-23515.27,-31744.01
25.7596,-12873.98,-10857.68,1948.88,11256.65,-12637.33,-5440.62,-23521.47,-31746.68
25.7996,-12870.17,-10860.16,1942.92,11251.16,-12621.45,-5439.14,-23526.77,-31750.73
25.8396,-12866.26,-10854.58,1950.74,11277.77,-12581.78,-5413.72,-23516.85,-31740.48
25.8796,-12851.57,-10844.76,1957.46,11277.39,-12554.98,-5393.55,-23507.6,-31732.28
25.9196,-12878.75,-10852.2,1941.49,11297.99,-12579.16,-5403.61,-23508.84,-31733.23
25.9596,-12895.63,-10858.87,1934.91,11284.45,-12608.53,-5420.4,-23509.6,-31729.18
25.9996,-12917.71,-10849.24,1948.83,11282.59,-12577.92,-5390.02,-23494.58,-31709.25
26.0396,-12884.38,-10849.86,1936.39,11314.77,-12550.07,-5375.48,-23498.49,-31719.02
26.0796,-12824.73,-10844.33,1945.21,11292.51,-12542.2,-5390.31,-23506.12,-31726.55
26.1196,-12854.67,-10858.01,1943.64,11259.46,-12573.34,-5408.57,-23524.62,-31742.72
26.1596,-12865.26,-10853.24,1949.98,11234.62,-12593.6,-5417.3,-23519.38,-31735.42
26.1996,-12873.13,-10849.48,1957.85,11261.37,-12574.1,-5396.32,-23511.94,-31728.94
26.2396,-12880.04,-10854.82,1960.42,11289.03,-12543.49,-5375.77,-23510.32,-31726.7
26.2796,-12885.19,-10858.25,1953.08,11278.06,-12532.62,-5362.8,-23511.89,-31724.27
26.3196,-12899.69,-10859.06,1949.45,11276.58,-12554.27,-5362.65,-23508.74,-31725.74
26.3596,-12888.39,-10868.41,1933.0,11318.3,-12585.07,-5391.46,-23506.93,-31729.61
26.3996,-12908.98,-10875.32,1917.03,11363.03,-12574.96,-5372.86,-23503.02,-31723.07
26.4396,-12884.33,-10847.47,1954.75,11267.95,-12539.25,-5342.63,-23487.62,-31694.03
26.4796,-12870.46,-10838.8,1966.43,11243.63,-12527.04,-5344.53,-23489.43,-31696.66
26.5196,-12872.94,-10853.63,1949.84,11247.45,-12564.09,-5373.81,-23506.12,-31714.92
26.5596,-12893.01,-10860.54,1936.91,11267.76,-12598.09,-5390.88,-23513.22,-31722.88
26.5996,-12893.87,-10860.25,1937.77,11299.18,-12595.08,-5389.64,-23519.57,-31730.04
26.6396,-12872.51,-10858.78,1936.48,11299.8,-12567.09,-5375.1,-23518.61,-31729.75
